Country/Territory,Annual Number Initiated on Treatment,Year of Data,Treated Source Type and Reference,Total Diagnosed (Viremic),Year of Data,Diagnosed Type and Reference,Annual Newly Diagnosed (Viremic),Year of Data,
Mozambique,30,2017,EC 238,"5,900",2017,EXB,"1,100",2017,
Nepal,90,2018,GSD,"19,200",2019,EX,800,2019,
Netherlands,"1,200",2017,EC,"10,500",2013,EXC 385,650,2017,
New Zealand,"1,000",2020,GSD,"27,000",2013,EC,910,2017,
Nigeria,170,2018,GSD,"68,000",2018,EC,680,2018,
Norway,"1,600",2020,EC; NS 388,"12,000",2012,NS 389,430,2019,
Oman,300,2019,EC,"2,300",2010,EC,300,2019,
Pakistan,"219,000",2019,DS; NS 390,"1,664,000",2019,PS 249,"354,000",2019,
Panama,--,--,--,190,2014,EC,20,2017,
Papua New Guinea,--,--,--,"9,900",2019,EX,930,2019,
Peru,--,--,--,"15,700",2014,EC,"1,600",2017,
Philippines,350,2019,EC,"98,800",2015,EX,"3,379",2019,
Poland,"8,500",2019,PS,"30,000",2012,PS 392,"3,400",2019,
Portugal,"3,900",2017,EC,"19,100",2013,EC,"1,000",2018,
Puerto Rico,--,--,--,"7,900",2007,PS 393,820,2017,
Qatar,600,2019,EC,"9,600",2014,EC,630,2019,
Romania,"17,000",2019,NS 395,"90,000",2014,EC,"7,500",2017,
Russia,"13,300",2019,DS,"1,790,000",2019,NS,"45,400",2019,
Rwanda,"16,300",2020,NS 397,"55,000",2017,PS 398,"4,200",2018,
Samoa,--,--,--,18,2014,EX,2,2017,
Saudi Arabia,"1,300",2020,NS; EC,"30,800",2013,EC,"2,000",2019,
Singapore,939,2020,NS,--,--,--,--,--,
Slovakia,400,2019,PS,"4,800",2018,EC,230,2018,
Slovenia,104,2020,"NS 400, 401","4,000",2020,"NS 400, 401",80,2020,
South Africa,200,2019,EC,"54,600",2012,EC,"2,600",2017,
Spain,"8,400",2020,NS 404,"70,000",2017,PS 405,"15,000",2017,
Sweden,"2,100",2020,NS; DS,"32,800",2012,PS 294,"1,100",2019,
Switzerland,"1,000",2020,DS,"25,800",2015,PS* 407,820,2019,
Syria,--,--,--,"86,600",2015,EX,"8,700",2017,
Taiwan,"36,200",2020,NS,"222,000",2010,PS 277,"9,200",2017,
Tajikistan,"2,000",2018,EC,"11,800",2018,NS 305,"1,500",2018,
Tanzania,1,2019,GSD,"5,000",2014,EC,500,2014,
Thailand,"2,700",2020,GSD,"92,200",2019,EC,"3,700",2019,
Tunisia,"1,100",2018,GSD,"10,000",2015,PS 311,"1,000",2015,
Turkey,"5,500",2019,EC,"59,700",2017,EC,"4,800",2019,
Uganda,30,2017,EC,"22,900",2016,NS 316,"1,700",2015,
Ukraine,"8,600",2020,EC,"100,000",2016,EC,"7,200",2019,
United Arab Emirates,450,2016,EC,"36,600",2010,EC,"3,700",2017,
United Kingdom,"8,500*",2020,NS 412,"55,900",2010,NS 413,"13,500",2019,
United States,"147,000",2020,DS,"1,534,000",2010,"PS 414, 415","82,700",2018,
Uzbekistan,"20,000",2016,EC,"45,000",2015,EC,"4,500",2017,
Venezuela,--,--,--,"24,800",2014,EX,"2,500",2014,
Viet Nam,"12,900",2020,EC,"95,500",2014,EX,"6,400",2017,
Yemen,--,--,--,"66,200",2013,EX,"6,600",2013,
